id,name,query
43de957b-db7a-44d6-aa2d-a77613abc272,"Medigood Medical Centre","Eclipse Complex Manhenga, Bindura, Mashonaland Central"
ff68ba0e-9d45-41f7-a242-da9e441e4122,"Medmint Pharmacy","8 Robert Mugabe Way, Bindura, Mashonaland Central"
1936d2aa-73e3-4dd0-a767-edb7c8674a36,"Medmint Pharmacy","8 Robert Mugabe, Bindura, Mashonaland Central"
507c11b8-c1b2-4dc7-b03c-25784d6e39e8,"Medwise Pharmacy","Shop 4, Nssa Complex 1837 Artherstone Road, Bindura, Mashonaland Central"
47ad34a9-8ea5-4f42-bf88-fc6daa18cbd6,"Mt Darwin Rdc-mukondea Rural Health Centre","Mukonde Communal Lands Rushinga, Bindura, Mashonaland Central"
4cc8bf92-03e8-49b4-b000-69b51f4ad6b8,"NMC 24","1911 Nssa Area, Bindura, Mashonaland Central"
df4f8f91-68e8-44b4-bc44-cd249a961afc,"NMC Clinical Laboratories","Northern Medicals Chambers 1911 Nssa Area, Bindura, Mashonaland Central"
2956f08a-c5a8-425e-8938-8449ac235778,"Northen Medical Chambers Dental Clinic","1911 Nssa Area, Bindura, Mashonaland Central"
9a34cf06-0917-4639-8c38-485c46953b83,"Northern Eye Centre","Stand 1911 Nssa Area, Bindura, Mashonaland Central"
1fc24467-363c-463a-a34a-7d60dea1332f,"Northern Medical Chambers NMC","1911 Nssa Complex Area, Bindura, Mashonaland Central"
b576680c-10ef-4c7e-bf8a-ec2b2a0ab7c3,"Padombo Optometry","853 York Avenue, Bindura, Mashonaland Central"
9c1ef08a-be09-47c6-abe7-9726c05369c0,"Pathway Pharmacy-bindura","43 Main Street Bindura CBD, Bindura, Mashonaland Central"
b8553161-a1a8-47c0-b8f5-691876a36919,"Pharmawell Pharmacy- Bindura","9 Thurlows Ave, Bindura, Mashonaland Central"
93a61cb5-259c-4144-9437-f883456f58ff,"Plaxedes-helen Shambare","1924 New Commercial Stands, Bindura, Mashonaland Central"
7b4e9383-5832-4eee-acb2-9287f1b56f45,"Ponai Medical Centre","853 York Avenue, Bindura, Mashonaland Central"
716eef93-1552-42c4-b3e8-64ad410b3c7e,"Ponai Medical Laboratories Pvt Ltd","853 York Avenue, Bindura, Mashonaland Central"
387b4ce0-34b4-4358-9d6a-cc8621e4df2e,"Primutus Pharmacy","Stand Number 109 Mainstreet, Bindura, Mashonaland Central"
a0a51ffd-44e9-4a6b-89e6-92fb4631e84b,"Primutus Pharmacy","57 Robert Mugabe, Bindura, Mashonaland Central"
9447ab23-1971-46c7-ae34-2cc7491d1602,"Prisons-bindura Clinic","Bindura Prison, Bindura, Mashonaland Central"
7c6927eb-e5a1-4d81-86c1-a9bdfca31df8,"Psmi Ambulances T/A Emras-bindura","Shop 6 Nssa Complex, Bindura, Mashonaland Central"
67cbd915-cf34-4a83-b471-cc8003cecdcc,"Psmi Optometry-bindura","Shop 6 Nssa Complex, Bindura, Mashonaland Central"
c99c8598-e4f0-4b18-9bb7-414835c12d00,"Revelation Medical Services","4864 Chiwaridzo Phase 2, Bindura, Mashonaland Central"
e64880c4-6dec-4a94-8d16-b5c1b88100db,"Shalom Pharmacy-bindura","Shop 1 Stand No. 1908 Nssa Area, Bindura, Mashonaland Central"
5fc08b1f-edb9-468e-baf8-2eea7c1369d2,"Shasha Pharmacy","7869 Aerodrome Shops, Bindura, Mashonaland Central"
be8401e0-bcdc-4fb8-8ead-13c41dc157b5,"Sturgeon Blue Pharmacy","3020 Aerodrome, Bindura, Mashonaland Central"
017dc8e1-a21e-477e-a99e-564d70df133a,"Tarshish Medical Xcentre","No.55 Chipindura Park, Bindura, Mashonaland Central"
64760135-760e-4686-90fb-9b022a7256e7,"Taruku Health Centre","36 Bfirst Street, Bindura, Mashonaland Central"
329fd247-c487-4aa5-927e-ccea14a5e4e9,"The Scan Centre","106 York Street, Bindura, Mashonaland Central"
88ddc39c-0ab8-456a-ad58-a16b49bd939f,"Trojan Nickel Mine - Ambulance","1 Trojan Nickel Road Trojan Nickel Mine, Bindura, Mashonaland Central"
d0f2b4f5-6f1b-4a4d-96f5-ca14f1ec85e7,"Trojan Nickel Mine Clinic","Trojan Road Trojan Nickel Mine, Bindura, Mashonaland Central"
daedcd3b-c9b4-40c1-b51a-ba8c8a006633,"Ultimate Physiocare Clinic","36 First Street, Bindura, Mashonaland Central"
687c0453-45e6-4297-b322-1d75fb83188c,"Ultimate Physio Care Clinic","1914 Authurstone Nssa Area, Bindura, Mashonaland Central"
71368f5e-2add-4d44-9709-923df6c510e0,"Urgent Care Clinic Pharmacy - Bindura","853 Yorke Avenue, Bindura, Mashonaland Central"
87e35727-84fe-460b-b1d2-eea6dc9d51e1,"Znfpc Clinic Bindura","Stand 101/102 Second Street, Bindura, Mashonaland Central"
3c9f40db-6694-4aa0-82e7-f8a2310052a2,"Zrp-bindura Camp Clinic","Bindura Camp Clinic, Bindura, Mashonaland Central"
90f798ea-4535-43b6-a584-39361ba3575f,"Binga Rdc-chinego RHC","C/O Box 7, Binga, Harare"
639f95c8-77bd-4262-9d57-3421b9c69fa0,"Binga Rdc-chunga RHC","C/O Box 7, Binga, Harare"
286c37f5-bc15-4d3b-995d-cf2e04f94a54,"Binga Rdc-lubimbi RHC","C/O Box 7, Binga, Harare"
92085edb-df6f-45df-950b-088545968e19,"Binga Rdc-muchesu RHC","C/O Box 7, Binga, Harare"
20281363-a9fa-4b6f-8eb9-e096f52cfce3,"Binga Rdc-pashu RHC","Dobola Ward, Binga, Harare"
53b9c65d-e6e2-4b95-afb0-2d70ece56eee,"Binga Rdc-siansundu RHC","C/O Box 7, Binga, Harare"
bcd625d9-49e6-4c7b-8f3f-96d665075aa1,"Binga Rdc-siansundu RHC","Siansundu Rural Area, Binga, Harare"
86574702-3322-4c2f-972b-f7862bfa6de0,"Binga Rdc-sinakoma RHC","Sinakoma Ward, Binga, Harare"
b0fa2df4-fed5-4643-a600-52d6e34e3de8,"Binga Rdc-sinansengwe RHC","Sinansengwe Ward, Binga, Harare"
566341a5-b5c1-488f-becb-08a5e92ee953,"Bless The Nations Mobile Clinic","Siabuwa Rural Service Centre, Binga, Harare"
951d7fd1-0084-4a2f-8fac-517f3dc8aafc,"Kariyangwe Mission Hospital","Kariyangwe Mission Hospital P.o.box 50, Binga, Harare"
8801a985-a1c3-4ed7-8de2-6ef7943e6efb,"Prisons-binga Clinic","Binga Prison, Binga, Harare"
3df65d0b-bcbb-4019-9c98-822338842615,"Relaac Dental Centre","Stand Number 298 CBA, Binga, Harare"
5c689299-0547-409c-ba83-d41b276048b5,"Apex 2 Surgery","199 Birchenough Bridge, Birchenough Bridge, Harare"
04a6918f-4aac-4ed6-bf6b-83afe2509529,"Birchenough Bridge Family Surgery","184 Birchenough Bridge Business Centre, Birchenough Bridge, Harare"
e64a221f-74e3-4ef5-a6f8-17c471ead4e4,"Birchenough Bridge Family Surgery","Stand 184, Birchenough Bridge, Harare"
b42433d5-a03b-43dd-a194-0d53279fd62b,"Birchenough Bridge X - Imaging","Stand Number 185, Birchenough Bridge, Harare"
3aed3bb7-ea1b-43a8-b53f-78f9073306b7,"Lorem Pharmacy","164 Birchnough Bridge, Birchenough Bridge, Harare"
21780cbc-2d58-4e5e-ad60-af486770e589,"Zrp-changadzi Camp Clinic","Changadzi Camp, Birchenough Bridge, Harare"
4cd4cf95-f343-4bc1-8d09-84e0165e5e6e,"Turk Mine Industrial Clinic","Turk Mine Industrial Clinic Turk Mine, Bubi, Harare"
0b849029-c4e3-42a7-b1eb-14fbb826562a,"Buhera Rdc-bangure RHC","Bangure Rhcmurambinda P.bag 2002, Buhera, Harare"
177a99b2-a896-47ca-b328-0af93fc9821c,"Buhera Rdc-betera Rural Health Clinic","Betera Rural Health Clinic P.bag 3696 Murambinda, Buhera, Harare"
b9b1f69c-40a3-4bf2-9e49-340fd5a4f31d,"Buhera Rdc-chabata RHC","Chabata Rhcmurambinda P.bag 2002, Buhera, Harare"
7f5d2679-32e7-47d2-b252-2e4c14aa1e03,"Buhera Rdc-chapwanya Clinic","Murambinda P.bag 2002, Buhera, Harare"
6790b1d9-cda2-4b2a-b4fa-edcab5df4cad,"Buhera Rdc-chimbudzi RHC","Chimbudzi Rhcmurambinda P.bag 2002, Buhera, Harare"
02650c93-0d00-4796-999f-7aac1ed38b36,"Buhera Rdc-chirozva Clinic","Chirozva Clinic Murambinda P.bag 2002, Buhera, Harare"
1d5352d9-63b1-4351-bd9a-6a3238fe414f,"Buhera Rdc-chiwenga RHC","Chiwenga Rhcmurambinda P.bag 2002, Buhera, Harare"
7bc4a75c-781e-4a42-9a6c-40372fb61749,"Buhera Rdc-chiweshe Clinic","Murambinda P.bag 2002, Buhera, Harare"
